"","conference","link"
"161","Big_South_F","https://tf.tfrrs.org/teams/tf/SC_college_f_USC_Upstate.html"
"162","Big_South_F","https://tf.tfrrs.org/teams/tf/NC_college_f_Gardner_Webb.html"
"163","Big_South_F","https://tf.tfrrs.org/teams/tf/NC_college_f_High_Point.html"
"164","Big_South_F","https://tf.tfrrs.org/teams/tf/SC_college_f_Winthrop.html"
"165","Big_South_F","https://tf.tfrrs.org/teams/tf/VA_college_f_Radford.html"
"166","Big_South_F","https://tf.tfrrs.org/teams/tf/VA_college_f_Longwood.html"
"167","Big_South_F","https://tf.tfrrs.org/teams/tf/NC_college_f_UNC_Asheville.html"
"168","Big_South_M","https://tf.tfrrs.org/teams/tf/NC_college_m_High_Point.html"
"169","Big_South_M","https://tf.tfrrs.org/teams/tf/SC_college_m_Winthrop.html"
"170","Big_South_M","https://tf.tfrrs.org/teams/tf/NC_college_m_UNC_Asheville.html"
"171","Big_South_M","https://tf.tfrrs.org/teams/tf/SC_college_m_USC_Upstate.html"
"172","Big_South_M","https://tf.tfrrs.org/teams/tf/SC_college_m_Charleston_Southern.html"
"173","Big_South_M","https://tf.tfrrs.org/teams/tf/NC_college_m_Gardner_Webb.html"
"174","Big_South_M","https://tf.tfrrs.org/teams/tf/VA_college_m_Longwood.html"
"175","Big_South_M","https://tf.tfrrs.org/teams/tf/VA_college_m_Radford.html"
"176","Big_Ten_F","https://tf.tfrrs.org/teams/tf/OH_college_f_Ohio_State.html"
"177","Big_Ten_F","https://tf.tfrrs.org/teams/tf/MN_college_f_Minnesota.html"
"178","Big_Ten_F","https://tf.tfrrs.org/teams/tf/IA_college_f_Iowa.html"
"179","Big_Ten_F","https://tf.tfrrs.org/teams/tf/WI_college_f_Wisconsin.html"
"180","Big_Ten_F","https://tf.tfrrs.org/teams/tf/IL_college_f_Illinois.html"
"181","Big_Ten_F","https://tf.tfrrs.org/teams/tf/NE_college_f_Nebraska.html"
"182","Big_Ten_F","https://tf.tfrrs.org/teams/tf/NJ_college_f_Rutgers.html"
"183","Big_Ten_F","https://tf.tfrrs.org/teams/tf/MI_college_f_Michigan_State.html"
"184","Big_Ten_F","https://tf.tfrrs.org/teams/tf/PA_college_f_Penn_State.html"
"185","Big_Ten_F","https://tf.tfrrs.org/teams/tf/MD_college_f_Maryland.html"
"186","Big_Ten_F","https://tf.tfrrs.org/teams/tf/IN_college_f_Purdue.html"
"187","Big_Ten_F","https://tf.tfrrs.org/teams/tf/MI_college_f_Michigan.html"
"188","Big_Ten_F","https://tf.tfrrs.org/teams/tf/IN_college_f_Indiana_IN.html"
"189","Big_Ten_F","https://tf.tfrrs.org/teams/tf/IL_college_f_Northwestern_IL.html"
"190","Big_Ten_M","https://tf.tfrrs.org/teams/tf/MN_college_m_Minnesota.html"
"191","Big_Ten_M","https://tf.tfrrs.org/teams/tf/IA_college_m_Iowa.html"
"192","Big_Ten_M","https://tf.tfrrs.org/teams/tf/PA_college_m_Penn_State.html"
"193","Big_Ten_M","https://tf.tfrrs.org/teams/tf/IN_college_m_Indiana_IN.html"
"194","Big_Ten_M","https://tf.tfrrs.org/teams/tf/IN_college_m_Purdue.html"
"195","Big_Ten_M","https://tf.tfrrs.org/teams/tf/NJ_college_m_Rutgers.html"
"196","Big_Ten_M","https://tf.tfrrs.org/teams/tf/MD_college_m_Maryland.html"
"197","Big_Ten_M","https://tf.tfrrs.org/teams/tf/MI_college_m_Michigan.html"
"198","Big_Ten_M","https://tf.tfrrs.org/teams/tf/NE_college_m_Nebraska.html"
"199","Big_Ten_M","https://tf.tfrrs.org/teams/tf/OH_college_m_Ohio_State.html"
"200","Big_Ten_M","https://tf.tfrrs.org/teams/tf/MI_college_m_Michigan_State.html"
"201","Big_Ten_M","https://tf.tfrrs.org/teams/tf/WI_college_m_Wisconsin.html"
"202","Big_Ten_M","https://tf.tfrrs.org/teams/tf/IL_college_m_Illinois.html"
"203","Big_West_F","https://tf.tfrrs.org/teams/tf/CA_college_f_Cal_St_Fullerton.html"
"204","Big_West_F","https://tf.tfrrs.org/teams/tf/CA_college_f_UC_Irvine.html"
"205","Big_West_F","https://tf.tfrrs.org/teams/tf/CA_college_f_UC_Riverside.html"
"206","Big_West_F","https://tf.tfrrs.org/teams/tf/CA_college_f_Cal_St_Northridge.html"
"207","Big_West_F","https://tf.tfrrs.org/teams/tf/CA_college_f_Cal_Poly.html"
"208","Big_West_F","https://tf.tfrrs.org/teams/tf/HI_college_f_Hawaii.html"
"209","Big_West_F","https://tf.tfrrs.org/teams/tf/CA_college_f_UC_San_Diego.html"
"210","Big_West_F","https://tf.tfrrs.org/teams/tf/CA_college_f_Long_Beach_St.html"
"211","Big_West_F","https://tf.tfrrs.org/teams/tf/CA_college_f_Cal_St_Bakersfield.html"
"212","Big_West_F","https://tf.tfrrs.org/teams/tf/CA_college_f_UC_Santa_Barbara.html"
"213","Big_West_F","https://tf.tfrrs.org/teams/tf/CA_college_f_UC_Davis.html"
"214","Big_West_M","https://tf.tfrrs.org/teams/tf/CA_college_m_Cal_St_Northridge.html"
"215","Big_West_M","https://tf.tfrrs.org/teams/tf/CA_college_m_Cal_St_Fullerton.html"
"216","Big_West_M","https://tf.tfrrs.org/teams/tf/CA_college_m_UC_San_Diego.html"
"217","Big_West_M","https://tf.tfrrs.org/teams/tf/CA_college_m_Long_Beach_St.html"
"218","Big_West_M","https://tf.tfrrs.org/teams/tf/CA_college_m_Cal_Poly.html"
"219","Big_West_M","https://tf.tfrrs.org/teams/tf/CA_college_m_UC_Santa_Barbara.html"
"220","Big_West_M","https://tf.tfrrs.org/teams/tf/CA_college_m_UC_Davis.html"
"221","Big_West_M","https://tf.tfrrs.org/teams/tf/CA_college_m_UC_Irvine.html"
"222","Big_West_M","https://tf.tfrrs.org/teams/tf/CA_college_m_UC_Riverside.html"
"223","Big_West_M","https://tf.tfrrs.org/teams/tf/CA_college_m_Cal_St_Bakersfield.html"
"224","CAA_Colonial_F","https://tf.tfrrs.org/teams/tf/NC_college_f_Campbell.html"
"225","CAA_Colonial_F","https://tf.tfrrs.org/teams/tf/MD_college_f_Towson.html"
"226","CAA_Colonial_F","https://tf.tfrrs.org/teams/tf/NC_college_f_N_Carolina_AT.html"
"227","CAA_Colonial_F","https://tf.tfrrs.org/teams/tf/SC_college_f_Col_of_Charleston.html"
"228","CAA_Colonial_F","https://tf.tfrrs.org/teams/tf/VA_college_f_William__Mary.html"
"229","CAA_Colonial_F","https://tf.tfrrs.org/teams/tf/NC_college_f_Elon.html"
"230","CAA_Colonial_F","https://tf.tfrrs.org/teams/tf/MA_college_f_Northeastern.html"
"231","CAA_Colonial_F","https://tf.tfrrs.org/teams/tf/VA_college_f_Hampton.html"
"232","CAA_Colonial_F","https://tf.tfrrs.org/teams/tf/NJ_college_f_Monmouth_NJ.html"
"233","CAA_Colonial_F","https://tf.tfrrs.org/teams/tf/DE_college_f_Delaware.html"
"234","CAA_Colonial_F","https://tf.tfrrs.org/teams/tf/NC_college_f_UNC_Wilmington.html"
"235","CAA_Colonial_F","https://tf.tfrrs.org/teams/tf/NY_college_f_Stony_Brook.html"
"236","CAA_Colonial_F","https://tf.tfrrs.org/teams/tf/NY_college_f_Hofstra.html"
"237","CAA_Colonial_M","https://tf.tfrrs.org/teams/tf/NC_college_m_Campbell.html"
"238","CAA_Colonial_M","https://tf.tfrrs.org/teams/tf/MA_college_m_Northeastern.html"
"239","CAA_Colonial_M","https://tf.tfrrs.org/teams/tf/NC_college_m_N_Carolina_AT.html"
"240","CAA_Colonial_M","https://tf.tfrrs.org/teams/tf/VA_college_m_Hampton.html"
"241","CAA_Colonial_M","https://tf.tfrrs.org/teams/tf/NJ_college_m_Monmouth_NJ.html"
"242","CAA_Colonial_M","https://tf.tfrrs.org/teams/tf/NY_college_m_Stony_Brook.html"
"243","CAA_Colonial_M","https://tf.tfrrs.org/teams/tf/NC_college_m_UNC_Wilmington.html"
"244","CAA_Colonial_M","https://tf.tfrrs.org/teams/tf/VA_college_m_William__Mary.html"
"245","CAA_Colonial_M","https://tf.tfrrs.org/teams/tf/NC_college_m_Elon.html"
"246","CAA_Colonial_M","https://tf.tfrrs.org/teams/tf/SC_college_m_Col_of_Charleston.html"
"247","CAA_Colonial_M","https://tf.tfrrs.org/teams/tf/NY_college_m_Hofstra.html"
"248","Conference_USA_F","https://tf.tfrrs.org/teams/tf/TX_college_f_UTEP.html"
"249","Conference_USA_F","https://tf.tfrrs.org/teams/tf/VA_college_f_Liberty.html"
"250","Conference_USA_F","https://tf.tfrrs.org/teams/tf/AL_college_f_Jacksonville_St.html"
"251","Conference_USA_F","https://tf.tfrrs.org/teams/tf/NM_college_f_New_Mexico_State.html"
"252","Conference_USA_F","https://tf.tfrrs.org/teams/tf/TX_college_f_Sam_Houston.html"
"253","Conference_USA_F","https://tf.tfrrs.org/teams/tf/TN_college_f_Mid_Tenn_State.html"
"254","Conference_USA_F","https://tf.tfrrs.org/teams/tf/LA_college_f_Louisiana_Tech.html"
"255","Conference_USA_F","https://tf.tfrrs.org/teams/tf/FL_college_f_Florida_Intl.html"
